[ approach_1.bag ]
  /gps/time => 1128
  /image_raw => 3524
  /obs1/gps/fix => 209
  /obs1/gps/rtkfix => 1175
  /obs1/gps/time => 818
  /radar/points => 2350
  /radar/range => 2350
  /radar/tracks => 2350
  /rosout => 15
  /tf => 11662
  /velodyne_nodelet_manager/bond => 470
  /velodyne_packets => 1174
  /velodyne_points => 1174
Total: 31791

[ spin_shoreline.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 1883
  /diagnostics_agg => 539
  /diagnostics_toplevel_state => 539
  /gps/fix => 2193
  /gps/rtkfix => 2694
  /gps/time => 2588
  /image_raw => 4041
  /obs1/gps/fix => 449
  /obs1/gps/rtkfix => 2588
  /obs1/gps/time => 1877
  /radar/points => 5388
  /radar/range => 5388
  /radar/tracks => 5389
  /rosout => 17
  /tf => 26751
  /velodyne_nodelet_manager/bond => 1076
  /velodyne_packets => 2692
  /velodyne_points => 2692
Total: 68786

[ intersection_1.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 116
  /diagnostics_agg => 33
  /diagnostics_toplevel_state => 33
  /gps/fix => 130
  /gps/rtkfix => 165
  /gps/time => 162
  /image_raw => 496
  /obs1/gps/fix => 29
  /obs1/gps/rtkfix => 164
  /obs1/gps/time => 125
  /radar/points => 330
  /radar/range => 330
  /radar/tracks => 330
  /rosout => 15
  /tf => 1639
  /velodyne_nodelet_manager/bond => 68
  /velodyne_packets => 165
  /velodyne_points => 165
Total: 4497

[ spin.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 1141
  /diagnostics_agg => 328
  /diagnostics_toplevel_state => 328
  /gps/fix => 1275
  /gps/rtkfix => 1639
  /gps/time => 1559
  /image_raw => 4917
  /obs1/gps/fix => 292
  /obs1/gps/rtkfix => 1634
  /obs1/gps/time => 1144
  /radar/points => 3277
  /radar/range => 3277
  /radar/tracks => 3278
  /rosout => 15
  /tf => 16267
  /velodyne_nodelet_manager/bond => 656
  /velodyne_packets => 1638
  /velodyne_points => 1638
Total: 44305

[ NOISY_spin_2.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 2133
  /diagnostics_agg => 610
  /diagnostics_toplevel_state => 610
  /gps/fix => 2038
  /gps/rtkfix => 3050
  /gps/time => 2756
  /image_raw => 9151
  /obs1/gps/fix => 900
  /obs1/gps/rtkfix => 3050
  /obs1/gps/time => 2339
  /radar/points => 6100
  /radar/range => 6100
  /radar/tracks => 6100
  /rosout => 15
  /tf => 30280
  /velodyne_nodelet_manager/bond => 1220
  /velodyne_packets => 3048
  /velodyne_points => 3047
Total: 82549

[ spin_3.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 889
  /diagnostics_agg => 254
  /diagnostics_toplevel_state => 254
  /gps/fix => 967
  /gps/rtkfix => 1271
  /gps/time => 1221
  /image_raw => 3812
  /obs1/gps/fix => 329
  /obs1/gps/rtkfix => 1271
  /obs1/gps/time => 954
  /radar/points => 2541
  /radar/range => 2541
  /radar/tracks => 2541
  /rosout => 15
  /tf => 12616
  /velodyne_nodelet_manager/bond => 508
  /velodyne_packets => 1270
  /velodyne_points => 1269
Total: 34525

[ overtake.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 255
  /diagnostics_agg => 73
  /diagnostics_toplevel_state => 73
  /gps/fix => 264
  /gps/rtkfix => 369
  /gps/time => 335
  /image_raw => 1105
  /obs1/gps/fix => 60
  /obs1/gps/rtkfix => 361
  /obs1/gps/time => 248
  /radar/points => 736
  /radar/range => 736
  /radar/tracks => 736
  /rosout => 15
  /tf => 3654
  /velodyne_nodelet_manager/bond => 148
  /velodyne_packets => 368
  /velodyne_points => 368
Total: 9906

[ 5mph.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 1148
  /diagnostics_agg => 329
  /diagnostics_toplevel_state => 329
  /gps/fix => 1300
  /gps/rtkfix => 1641
  /gps/time => 1574
  /image_raw => 4925
  /obs1/gps/fix => 274
  /obs1/gps/rtkfix => 1641
  /obs1/gps/time => 1135
  /radar/points => 3283
  /radar/range => 3283
  /radar/tracks => 3283
  /rosout => 15
  /tf => 16298
  /velodyne_nodelet_manager/bond => 656
  /velodyne_packets => 1640
  /velodyne_points => 1640
Total: 44396
